#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:41+0000 #
#####################################################################
# 
#
# The columns have the following meaning: 
# time TetR[Mean] LacI[Mean] AcI[Mean] 
535.5265439579496 130.0 87.0 113.0 
537.0106417639049 116.0 91.0 117.0 
538.5001794673445 122.0 91.0 116.0 
540.0186442858436 118.0 83.0 113.0 
541.5034806384157 120.0 90.0 108.0 
543.0336535681026 112.0 98.0 110.0 
544.5083875920435 109.0 101.0 112.0 
546.012162356475 101.0 106.0 107.0 
547.5122205925277 104.0 107.0 98.0 
549.0378879012193 89.0 113.0 106.0 
550.5332757973255 91.0 117.0 112.0 
552.0370893223712 85.0 113.0 107.0 
553.5393055973173 83.0 108.0 104.0 
555.0293360276643 85.0 99.0 108.0 
556.5254529608357 83.0 95.0 104.0 
558.0053404229859 80.0 96.0 97.0 
559.5014845816961 84.0 100.0 90.0 
561.0237522666795 87.0 99.0 87.0 
562.5139958700212 91.0 100.0 90.0 
564.0080838978354 94.0 106.0 95.0 
565.524137526914 97.0 106.0 97.0 
567.0219978416051 93.0 108.0 101.0 
568.5484104758096 97.0 99.0 94.0 
570.0182224842227 94.0 99.0 98.0 
571.5531871735532 99.0 97.0 99.0 
573.016995784126 97.0 93.0 97.0 
574.5088231804918 100.0 97.0 96.0 
576.0178128264143 103.0 100.0 92.0 
577.5005914817851 97.0 107.0 96.0 
579.0058822736843 85.0 101.0 92.0 
580.504438585822 85.0 103.0 91.0 
582.0181226408483 92.0 102.0 92.0 
583.5756311949136 90.0 102.0 95.0 
585.0769615706358 93.0 106.0 100.0 
586.5059221981726 103.0 108.0 94.0 
588.0006396961118 107.0 102.0 96.0 
589.544827098434 98.0 103.0 92.0 
591.0189776676915 108.0 104.0 91.0 
592.5076215706915 109.0 93.0 95.0 
594.0070102761332 112.0 84.0 100.0 
595.5134897572609 102.0 87.0 103.0 
597.020701770725 105.0 84.0 98.0 
598.5016176324966 108.0 91.0 106.0 
600.0304255494142 105.0 93.0 110.0 
601.5016421205293 112.0 93.0 108.0 
603.008915478195 110.0 103.0 99.0 
604.5379498529144 117.0 102.0 91.0 
606.0028425219823 121.0 96.0 103.0 
607.5054842121733 116.0 90.0 106.0 
609.0035819075583 115.0 87.0 106.0 
610.5120291505361 112.0 84.0 93.0 
612.0005799828646 116.0 83.0 96.0 
613.509224472357 108.0 84.0 98.0 
615.0123431873689 115.0 87.0 103.0 
616.5087846972731 107.0 92.0 97.0 
618.0329212272842 102.0 98.0 89.0 
619.5071815825194 104.0 99.0 86.0 
621.029711105823 98.0 103.0 71.0 
622.5056018354464 107.0 101.0 65.0 
624.0169347400017 110.0 107.0 69.0 
625.5255951438389 111.0 107.0 78.0 
627.0292812050554 109.0 101.0 87.0 
628.5048834770291 110.0 102.0 91.0 
630.0007119777313 103.0 109.0 90.0 
631.5070787706281 99.0 114.0 85.0 
633.0153342220274 105.0 105.0 78.0 
634.5294953343706 99.0 103.0 83.0 
636.0671442085743 101.0 106.0 89.0 
637.503546582832 105.0 108.0 92.0 
639.0246791943437 99.0 102.0 92.0 
640.5353907342412 101.0 102.0 98.0 
642.0100658063618 103.0 98.0 99.0 
643.5413023808491 106.0 100.0 97.0 
645.0197923574761 107.0 87.0 105.0 
646.5171448525322 99.0 85.0 105.0 
648.0515133469767 100.0 87.0 106.0 
649.5062785078785 97.0 83.0 107.0 
651.0041196664482 95.0 83.0 98.0 
652.5054775763907 92.0 83.0 96.0 
654.0029406823986 94.0 83.0 103.0 
655.5009009298744 101.0 85.0 92.0 
657.0389658563162 100.0 89.0 97.0 
